experiment_id	commit	novelty	accuracy	actionability	depth	composite	status	description	timestamp
2026-03-20T07:17:16.283Z	vol_quant	rsi_contrarian	-2.0414	-0.7061	-0.6060	-0.9907	0.9908	0.0900	88	keep
2026-03-20T07:17:16.360Z	vol_quant	volatility_breakout	-6.0344	-3.4439	-0.9993	-1.0000	1.0000	0.1480	664	discard
2026-03-20T07:17:16.434Z	vol_quant	adaptive_momentum	-2.8793	-2.0019	-0.8358	-0.9999	0.9999	0.4330	175	discard
2026-03-20T07:17:16.505Z	vol_quant	mean_reversion	-3.9813	-2.3359	-0.9636	-1.0000	1.0000	0.2250	291	discard
2026-03-20T07:17:16.577Z	vol_quant	adaptive_momentum	-3.4755	-2.3749	-0.9248	-1.0000	1.0000	0.4160	225	discard
2026-03-20T07:32:16.224Z	hf_quant	baseline	-2.9215	-1.9274	-0.8491	-0.9999	0.9999	0.4580	187	baseline
2026-03-20T07:32:16.361Z	hf_quant	price_channel	-2.4751	-0.7105	-0.7368	-0.9988	0.9988	0.0290	124	keep
2026-03-20T07:32:16.440Z	hf_quant	adaptive_momentum	-2.7873	-1.9165	-0.8195	-0.9998	0.9998	0.4560	160	discard
2026-03-20T07:32:16.513Z	hf_quant	rsi_contrarian	-3.7336	-2.1421	-0.9465	-1.0000	1.0000	0.1990	283	discard
2026-03-20T07:32:16.587Z	hf_quant	mean_reversion	-3.1652	-2.1384	-0.8806	-1.0000	1.0000	0.3730	160	discard
2026-03-20T07:32:16.658Z	hf_quant	adaptive_momentum	-2.6689	-1.7685	-0.7927	-0.9996	0.9997	0.4190	156	discard
2026-03-20T07:47:16.239Z	microstructure_researcher	baseline	-3.6646	-2.4963	-0.9423	-1.0000	1.0000	0.3860	239	baseline
2026-03-20T07:47:16.372Z	microstructure_researcher	adaptive_momentum	-3.0523	-2.0745	-0.8675	-1.0000	1.0000	0.3930	203	keep
2026-03-20T07:47:16.451Z	microstructure_researcher	mean_reversion	-3.1047	-2.0563	-0.8720	-1.0000	1.0000	0.3790	197	discard
2026-03-20T07:47:16.524Z	microstructure_researcher	mean_reversion	-4.1822	-2.6385	-0.9735	-1.0000	1.0000	0.2970	309	discard
2026-03-20T07:47:16.599Z	microstructure_researcher	rsi_contrarian	-1.5506	-0.3023	-0.4410	-0.9318	0.9321	0.0200	38	keep
2026-03-20T07:47:16.671Z	microstructure_researcher	adaptive_momentum	-3.5136	-2.4609	-0.9287	-1.0000	1.0000	0.4210	225	discard
2026-03-20T08:02:16.345Z	econ_researcher	baseline	-3.2947	-2.1424	-0.9019	-1.0000	1.0000	0.3410	217	baseline
2026-03-20T08:02:16.484Z	econ_researcher	rsi_contrarian	-2.7827	-1.2340	-0.8118	-0.9998	0.9998	0.1280	141	keep
2026-03-20T08:02:16.561Z	econ_researcher	price_channel	-3.2873	-1.2656	-0.9003	-1.0000	1.0000	0.0460	230	discard
2026-03-20T08:02:16.637Z	econ_researcher	momentum_crossover	-2.7723	-1.9856	-0.8114	-0.9998	0.9998	0.4660	147	keep
2026-03-20T08:02:16.710Z	econ_researcher	rsi_contrarian	-2.1991	-0.7389	-0.6554	-0.9953	0.9953	0.0730	87	keep
2026-03-20T08:02:16.787Z	econ_researcher	price_channel	-2.5920	-0.7514	-0.7674	-0.9994	0.9994	0.0260	128	discard
